,condition,User ID,Baseline,Day 1,Day 2,Day 3,Day 4,Day 5,Weekend 1,Day 6,Day 7,Day 8,Day 9,Day 10,Weekend 2,ID,Norstat ID
0,4.0,120931,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,120931,5YwxodNGOXv9Oylz
1,5.0,120937,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,120937,RWLV2Z1EmG5o5vN3
2,5.0,120962,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,120962,p3MN23yEj4EAl1ag
3,1.0,120964,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,120964,5Ywxodb3xdX9Oylz
4,1.0,120966,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,120966,Dg7LANONnZgozm8y
5,1.0,120967,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,120967,qRZK2gEQM1WAbdka
6,1.0,120970,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,120970,qRZK2gEDqlNAbdka
8,5.0,121186,1.0,0,0,1,1,1,1.0,0,1,1,1,1,1.0,121186,LDen9KLWer3AElVw
9,4.0,121190,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,121190,NaBzAB8qx532YyVM
10,5.0,121192,1.0,1,0,0,0,1,1.0,1,1,1,1,1,1.0,121192,zExm2J5mJYro6PyK
11,5.0,121193,1.0,1,0,0,1,1,1.0,1,1,1,1,1,1.0,121193,qRZK2gE4pxWAbdka
12,1.0,121199,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,121199,p3MN234R1DP9l1ag
13,5.0,121203,1.0,1,1,1,1,1,1.0,1,1,1,1,1,99.0,121203,QGYe2jPgKkdAgrXp
14,4.0,121204,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,121204,xgOVA1gzDMg2elJ1
15,1.0,121209,1.0,0,1,1,1,1,1.0,1,1,0,1,1,1.0,121209,Elb8AvXdjJr2pLX5
16,1.0,121210,1.0,0,1,1,1,1,1.0,1,1,0,1,1,1.0,121210,5nJ4ApEjL44oG3kx
17,2.0,121211,1.0,0,1,1,1,1,1.0,1,1,0,1,1,1.0,121211,GLPp2OpXGXZ903ym
18,2.0,121212,1.0,0,0,1,1,1,1.0,1,1,0,1,1,1.0,121212,GQq8AV3lzqqolWZ3
19,1.0,121213,1.0,0,1,1,1,1,1.0,1,1,0,1,1,1.0,121213,beaJAWrXNLn9vw16
20,2.0,121214,1.0,1,1,1,1,1,1.0,1,1,0,1,1,1.0,121214,3YVN2MBNlkV9bRn5
21,1.0,121216,1.0,0,1,1,1,1,1.0,1,1,0,1,1,1.0,121216,5Ywxodbjjav9Oylz
22,2.0,121217,1.0,1,1,1,1,1,1.0,1,1,0,1,1,1.0,121217,Vj6N98wd1My28drl
23,1.0,121218,1.0,0,1,1,1,1,1.0,1,1,0,1,1,1.0,121218,Vj6N98wP05N28drl
24,2.0,121231,1.0,1,1,1,1,1,1.0,0,0,0,0,0,,121231,Yxq827dlgGa9MWZ0
25,5.0,121245,1.0,1,1,1,1,1,1.0,1,1,1,1,0,1.0,121245,Yxq827djM5b9MWZ0
26,5.0,121257,1.0,0,1,1,1,1,1.0,1,1,1,1,1,99.0,121257,nKY7owXDr6a2G3v4
27,4.0,121262,1.0,0,1,1,1,1,1.0,1,1,1,1,1,99.0,121262,XNdYoQwYvke9Wq1r
28,2.0,121272,1.0,0,1,1,1,1,1.0,1,1,1,1,1,99.0,121272,jYWQA6pXWJE2PXKz
29,5.0,121290,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,121290,j1Le2D6XXqlAxEOy
30,5.0,121291,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,121291,Vw142rvB6mb2aNPX
31,5.0,121294,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,121294,lzD49L4RWVk93Vr8
32,5.0,121295,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,121295,5YwxodbGEEe9Oylz
33,5.0,121296,1.0,0,1,1,1,1,1.0,1,1,1,1,1,99.0,121296,yNedoaQL3axoMEjw
34,5.0,121356,1.0,1,1,1,1,1,1.0,1,1,1,0,1,1.0,121356,5nJ4ApErRG0oG3kx
35,5.0,121447,1.0,1,1,1,1,0,1.0,1,0,0,0,1,1.0,121447,3YVN2MBw3aE9bRn5
36,5.0,121448,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,121448,Yxq827vYZBBoMWZ0
37,5.0,121453,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,121453,EZ8qox1YddQ26JVW
38,4.0,121454,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,121454,GlMq9eXGMBV2DpXY
39,4.0,121455,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,121455,NaBzABQ5O0r9YyVM
40,4.0,121456,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,121456,W7mLA5Omw5O2N6n1
41,4.0,121457,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,121457,xgOVA1geOWO2elJ1
42,4.0,121461,1.0,1,0,1,0,1,1.0,1,1,1,0,1,1.0,121461,wLxz2lXdmMz2kVj8
43,5.0,121462,1.0,1,1,1,1,1,1.0,1,0,0,0,1,1.0,121462,YXrqo4Bx0xx9MZdm
